Bundesland, Anmeldungen
Baden-Wuerttemberg,60942
Bayern,76078
Brandenburg,7784
Hessen,26465
Mecklenburg-Vorpommern,4818
Niedersachsen,45874
Nordrhein-Westfalen,81272
Rheinland-Pfalz,18765
Sachsen,9287
Sachsen-Anhalt,4292
Schleswig-Holstein,24867
Thueringen,5174
